Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR,Gls_per90,Ast_per90,G+A_per90,G-PK_per90,G+A-PK_per90
Juan David Mosquera,co COL,DF,21,34,34,"2,780",30.9,1,4,5,1,0,0,1,0,91,143,189,0.03,0.13,0.16,0.03,0.16
Santiago Moreno,co COL,"FW,MF",23,31,29,"2,435",27.1,6,10,16,6,0,0,1,0,109,184,229,0.22,0.37,0.59,0.22,0.59
Diego Chará,co COL,MF,37,32,28,"2,424",26.9,0,0,0,0,0,0,9,1,11,138,22,0,0,0,0,0
Evander,br BRA,MF,25,28,27,"2,459",27.3,15,15,30,12,3,3,8,0,69,205,125,0.55,0.55,1.1,0.44,0.99
Jonathan Rodríguez,uy URU,FW,30,29,27,"2,427",27,16,5,21,15,1,1,7,0,74,62,220,0.59,0.19,0.78,0.56,0.74
Dario Župari?,ba BIH,DF,31,28,24,"2,222",24.7,0,0,0,0,0,0,6,0,3,63,4,0,0,0,0,0
Kamal Miller,ca CAN,DF,26,23,22,"1,959",21.8,0,0,0,0,0,0,8,0,13,69,9,0,0,0,0,0
Felipe Mora,cl CHI,FW,30,29,22,"1,889",21,14,2,16,13,1,1,3,1,10,22,117,0.67,0.1,0.76,0.62,0.71
Antony,br BRA,"FW,MF",22,33,20,"1,886",21,6,4,10,6,0,0,0,0,88,40,202,0.29,0.19,0.48,0.29,0.48
Maxime Crépeau,ca CAN,GK,29,20,20,"1,757",19.5,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,0
Claudio Bravo,ar ARG,DF,26,22,19,"1,593",17.7,0,2,2,0,0,0,3,0,44,85,65,0,0.11,0.11,0,0.11
David Ayala,ar ARG,MF,21,30,19,"1,468",16.3,1,1,2,1,0,0,2,0,7,99,20,0.06,0.06,0.12,0.06,0.12
Miguel Araujo,pe PER,DF,29,22,17,"1,543",17.1,0,2,2,0,0,0,2,0,3,47,3,0,0.12,0.12,0,0.12
James Pantemis,ca CAN,GK,26,15,14,"1,301",14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cristhian Paredes,py PAR,MF,25,31,13,"1,350",15,0,2,2,0,0,0,4,0,10,59,20,0,0.13,0.13,0,0.13
Eryk Williamson,us USA,MF,26,28,10,"1,068",11.9,2,2,4,2,0,0,5,0,21,77,31,0.17,0.17,0.34,0.17,0.34
Zac McGraw,ca CAN,DF,26,13,10,857,9.5,0,0,0,0,0,0,2,0,1,23,1,0,0,0,0,0
Eric Miller,us USA,DF,31,25,8,"1,012",11.2,1,1,2,1,0,0,3,0,3,31,30,0.09,0.09,0.18,0.09,0.18
Dairon Asprilla,co COL,"FW,DF",31,19,7,687,7.6,1,1,2,1,0,0,1,0,13,12,50,0.13,0.13,0.26,0.13,0.26
Nathan Fogaça,br BRA,"FW,MF",24,16,1,182,2,1,0,1,1,0,0,1,0,7,5,19,0.49,0,0.49,0.49,0.49
Mason Toye,us USA,"FW,MF",25,5,1,148,1.6,0,0,0,0,0,0,0,0,3,1,8,0,0,0,0,0
Finn Surman,nz NZL,DF,20,1,1,90,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Larrys Mabiala,cd COD,DF,36,1,1,45,0.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Tega Ikoba,us USA,"FW,MF",20,2,0,9,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Victor Enriquez,,MF,,1,0,6,0.1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Sawyer Jura,us USA,DF,17,1,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Marvin Loría,cr CRC,MF,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
